origin,destination,flow
103,103,2
103,106,1
103,79,1
104,103,1
105,81,1
106,105,1
106,106,3
106,120,1
117,128,1
118,106,1
118,118,1
118,226,1
119,120,1
120,118,1
120,119,1
120,120,5
120,210,1
120,71,1
128,144,1
128,186,1
143,143,6
143,184,1
143,204,1
143,229,1
143,246,1
144,103,1
148,164,1
157,128,1
158,144,1
158,158,2
158,177,1
158,246,1
159,159,2
159,179,1
159,196,1
159,209,1
159,246,1
160,159,1
160,184,1
162,210,1
162,351,1
164,103,1
164,164,11
164,165,1
164,167,1
164,177,1
164,181,1
164,183,1
164,184,2
164,185,2
164,186,1
164,188,1
164,206,1
164,207,1
164,208,1
164,209,2
164,232,1
164,295,1
164,389,1
164,518,1
165,164,1
165,165,12
165,185,6
165,186,1
165,207,1
165,208,1
165,209,2
165,210,2
165,211,2
165,226,2
165,231,1
165,254,1
165,257,1
165,264,1
165,265,2
165,292,1
165,314,1
165,445,1
166,166,2
166,184,1
166,188,1
166,208,1
166,439,1
167,167,1
167,169,1
167,186,1
167,187,2
167,229,1
167,319,1
168,187,1
168,188,1
169,168,1
169,169,1
169,188,1
175,175,1
175,196,2
176,157,1
176,176,2
176,197,1
177,143,1
177,177,8
177,187,1
177,196,2
177,197,1
177,198,5
177,204,1
177,209,2
177,288,1
178,128,1
178,177,2
178,178,1
178,185,2
178,220,1
178,284,1
179,158,1
179,179,1
179,204,1
179,227,1
180,178,1
180,181,1
180,200,1
181,164,1
181,182,1
181,188,2
182,162,1
182,181,1
182,182,3
182,201,1
182,207,1
182,383,1
183,158,1
183,183,11
183,184,1
183,186,3
183,202,1
183,204,3
183,205,1
183,209,3
183,229,1
183,250,1
183,458,1
184,164,5
184,165,1
184,177,1
184,183,3
184,184,12
184,185,2
184,186,1
184,187,1
184,188,3
184,200,1
184,203,1
184,206,2
184,207,2
184,208,2
184,209,1
184,223,1
184,224,2
184,225,1
184,226,1
184,233,1
185,165,8
185,167,1
185,177,1
185,178,1
185,183,2
185,184,1
185,185,23
185,186,3
185,187,4
185,188,5
185,202,1
185,203,1
185,205,1
185,206,4
185,207,2
185,209,6
185,211,1
185,229,1
185,233,1
185,253,1
185,255,1
185,261,1
185,263,1
185,280,1
185,287,1
185,292,1
185,314,1
185,442,1
185,451,1
186,143,1
186,164,2
186,184,6
186,185,9
186,186,72
186,187,16
186,188,7
186,205,2
186,206,5
186,207,12
186,208,9
186,209,11
186,210,2
186,211,3
186,221,1
186,226,2
186,232,2
186,233,1
186,234,3
186,252,1
186,256,2
186,262,1
186,279,1
186,284,1
186,287,1
186,290,1
186,351,1
186,360,1
186,412,1
186,418,1
186,419,1
186,435,1
187,105,1
187,164,2
187,165,1
187,166,1
187,167,4
187,168,1
187,177,1
187,185,2
187,186,11
187,187,49
187,188,6
187,204,2
187,205,1
187,206,3
187,207,5
187,208,12
187,209,13
187,211,3
187,229,7
187,232,2
187,233,2
187,235,1
187,236,1
187,256,3
187,258,1
187,261,1
187,263,1
187,265,1
187,284,2
187,288,1
187,292,1
187,320,1
187,329,1
187,361,1
187,393,1
187,467,1
187,518,1
188,164,1
188,165,2
188,168,1
188,169,2
188,178,1
188,185,2
188,186,6
188,187,8
188,188,28
188,204,1
188,207,1
188,208,9
188,209,14
188,210,4
188,211,1
188,227,1
188,229,1
188,239,1
188,249,1
188,256,1
188,266,1
188,287,1
188,319,1
188,324,1
188,382,1
188,389,1
188,417,1
188,418,1
188,439,1
188,442,1
188,467,1
188,492,1
188,495,1
188,573,1
189,188,1
189,210,1
189,266,1
196,159,1
196,175,2
196,180,1
196,196,15
196,197,1
196,198,1
196,200,1
196,209,1
196,247,1
197,177,1
197,196,1
197,197,1
198,143,2
198,177,6
198,179,1
198,196,1
198,197,1
198,198,3
199,198,1
199,199,2
199,203,1
200,199,1
200,200,1
200,264,1
201,185,1
201,198,1
201,201,6
201,210,1
201,225,1
202,183,1
202,203,1
203,183,1
203,186,2
203,202,1
203,203,7
203,211,1
203,226,1
203,236,1
203,254,1
203,284,1
204,106,1
204,180,1
204,181,1
204,183,2
204,184,1
204,185,5
204,204,15
204,205,1
204,208,2
204,209,2
204,227,1
204,258,1
204,282,1
204,412,1
204,467,1
204,518,1
205,183,1
205,184,3
205,187,1
205,205,3
205,208,1
205,228,1
206,166,1
206,183,1
206,185,5
206,186,7
206,187,1
206,206,19
206,207,2
206,208,4
206,209,5
206,210,1
206,229,3
206,233,1
206,235,1
206,251,1
206,255,1
206,284,2
206,321,1
206,553,1
207,164,1
207,184,1
207,185,2
207,186,12
207,187,3
207,188,3
207,203,1
207,204,1
207,206,3
207,207,27
207,208,1
207,209,6
207,211,1
207,232,3
207,233,2
207,255,1
207,256,4
207,264,1
207,283,1
207,288,1
207,296,1
207,321,1
207,392,1
207,429,1
207,442,1
207,95,1
208,164,2
208,165,1
208,166,1
208,185,3
208,186,6
208,187,20
208,188,6
208,189,1
208,204,2
208,206,4
208,207,8
208,208,74
208,209,11
208,210,3
208,211,4
208,227,2
208,229,1
208,232,5
208,233,2
208,236,1
208,254,1
208,256,2
208,257,1
208,260,1
208,261,1
208,264,1
208,282,1
208,284,1
208,287,1
208,288,1
208,289,1
208,321,1
208,331,1
208,439,2
208,518,2
